"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-07T15:50:42Z"
"Version","20250307155042"
"OfferCode","AmazonOmics"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","vCPU","Memory","Storage Class","Group","Group Description","usageType","operation","Analytics Type","Datastore Type","GPU","GPU Memory","Omics Instance Type","Publisher","Ready2Run Workflow Name","Ready2Run Workflow Version","Region Code","Resource Type","serviceName","Workflow Type"
"FW9B4ZZYEV5QZFC3","JRTCKXETXF","FW9B4ZZYEV5QZFC3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0001918 per GB-hour for run storage in US East (N. Virginia)","2025-02-01","0","Inf","GB-Hours","0.0001918000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Private-RunStorage-GB-hour","",,,,,,,,,"us-east-1","Run Storage","Amazon Omics","Private"
"GA49S76QEZRKYU96","JRTCKXETXF","GA49S76QEZRKYU96.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.1104 per omics.m.12xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","3.1104000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","48","192 GiB",,,,"USE1-WorkflowType:Private-omics.m.12xlarge-hours","",,,,,"Standard Instances",,,,"us-east-1","omics.m.12xlarge","Amazon Omics","Private"
"GQVMAT74C9XBX7JR","JRTCKXETXF","GQVMAT74C9XBX7JR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.672 per omics.c.16xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","3.6720000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","64","128 GiB",,,,"USE1-WorkflowType:Private-omics.c.16xlarge-hours","",,,,,"Compute Optimized Instances",,,,"us-east-1","omics.c.16xlarge","Amazon Omics","Private"
"GWNS84NFER3TC2YM","JRTCKXETXF","GWNS84NFER3TC2YM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.1924 per omics.g5.4xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","2.1924000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","16","64 GiB",,,,"USE1-WorkflowType:Private-omics.g5.4xlarge-hours","",,,"1","24 GiB","Accelerated Computing",,,,"us-east-1","omics.g5.4xlarge","Amazon Omics","Private"
"GXUBFSRJDPDQ7MSA","JRTCKXETXF","GXUBFSRJDPDQ7MSA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.0824 per omics.r.12xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","4.0824000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","48","384 GiB",,,,"USE1-WorkflowType:Private-omics.r.12xlarge-hours","",,,,,"Memory Optimized Instances",,,,"us-east-1","omics.r.12xlarge","Amazon Omics","Private"
"H2QRF6DP7V6MNV38","JRTCKXETXF","H2QRF6DP7V6MNV38.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.84 per NVIDIA Parabricks BAM2FQ2BAM WGS for up to 30X-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","8.8400000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-NVIDIAParabricksBAM2FQ2BAMWGSforupto30X-v1.0-run","",,,,,,"NVIDIA Corporation","NVIDIA Parabricks BAM2FQ2BAM WGS for up to 30X","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"H6JNMKCRCXHF83NV","JRTCKXETXF","H6JNMKCRCXHF83NV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$9.0115 per Instance-hr for omics.g6.24xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","9.0115000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","96","384 GiB",,,,"USE1-WorkflowType:Private-omics.g6.24xlarge-hours","",,,"4","96 GiB","Accelerated Computing",,,,"us-east-1","omics.g6.24xlarge","Amazon Omics","Private"
"J729WPVVRAFGC5KK","JRTCKXETXF","J729WPVVRAFGC5KK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$10.2292 per Instance-hr for omics.g6e.16xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","10.2292000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","64","512 GiB",,,,"USE1-WorkflowType:Private-omics.g6e.16xlarge-hours","",,,"1","48 GiB","Accelerated Computing",,,,"us-east-1","omics.g6e.16xlarge","Amazon Omics","Private"
"JDU8TZGCBMHXSDAY","JRTCKXETXF","JDU8TZGCBMHXSDAY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$11.5668 per Instance-hr for omics.c.48xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","11.5668000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","192","384 GiB",,,,"USE1-WorkflowType:Private-omics.c.48xlarge-hours","",,,,,"Compute Optimized Instances",,,,"us-east-1","omics.c.48xlarge","Amazon Omics","Private"
"JEE39CTXZ5XFSAXQ","JRTCKXETXF","JEE39CTXZ5XFSAXQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.754 per omics.c.12xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","2.7540000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","48","96 GiB",,,,"USE1-WorkflowType:Private-omics.c.12xlarge-hours","",,,,,"Compute Optimized Instances",,,,"us-east-1","omics.c.12xlarge","Amazon Omics","Private"
"JTABN7G47CMM9P2J","JRTCKXETXF","JTABN7G47CMM9P2J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.58 per GATK-BP Germline bam2vcf for 30x genome-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","4.5800000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-GATK-BPGermlinebam2vcffor30xgenome-v1.0-run","",,,,,,"Broad Institute","GATK-BP Germline bam2vcf for 30x genome","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"KJ5C72AXUHQDD4SF","JRTCKXETXF","KJ5C72AXUHQDD4SF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.00 per Sentieon Germline FASTQ WES for up to 300x-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","3.0000000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-SentieonGermlineFASTQWESforupto300x-v1.0-run","",,,,,,"Sentieon, Inc.","Sentieon Germline FASTQ WES for up to 300x","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"M8TPZJQ6JTYKBH5V","JRTCKXETXF","M8TPZJQ6JTYKBH5V.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.7101 per omics.g4dn.xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","0.7101000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","4","16 GiB",,,,"USE1-WorkflowType:Private-omics.g4dn.xlarge-hours","",,,"1","16 GiB","Accelerated Computing",,,,"us-east-1","omics.g4dn.xlarge","Amazon Omics","Private"
"MFYJY8H99HUJMRDH","JRTCKXETXF","MFYJY8H99HUJMRDH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1148 per omics.c.large-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","0.1148000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","2","4 GiB",,,,"USE1-WorkflowType:Private-omics.c.large-hours","",,,,,"Compute Optimized Instances",,,,"us-east-1","omics.c.large","Amazon Omics","Private"
"MM8JHPV5M36NA2XJ","JRTCKXETXF","MM8JHPV5M36NA2XJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.2208 per omics.m.24xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","6.2208000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","96","384 GiB",,,,"USE1-WorkflowType:Private-omics.m.24xlarge-hours","",,,,,"Standard Instances",,,,"us-east-1","omics.m.24xlarge","Amazon Omics","Private"
"MNM5Q5US5XSVPPCG","JRTCKXETXF","MNM5Q5US5XSVPPCG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$18.76 per NVIDIA Parabricks Germline DeepVariant WGS for up to 50X-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","18.7600000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-NVIDIAParabricksGermlineDeepVariantWGSforupto50X-v1.0-run","",,,,,,"NVIDIA Corporation","NVIDIA Parabricks Germline DeepVariant WGS for up to 50X","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"MWP8E3BW254DSGCN","JRTCKXETXF","MWP8E3BW254DSGCN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.57 per Sentieon Germline FASTQ WES for up to 100x-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","0.5700000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-SentieonGermlineFASTQWESforupto100x-v1.0-run","",,,,,,"Sentieon, Inc.","Sentieon Germline FASTQ WES for up to 100x","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"N7NKNK5P24RUMHE7","JRTCKXETXF","N7NKNK5P24RUMHE7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.15 per NVIDIA Parabricks Germline Haplotype Caller WGS for up to 5X-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","1.1500000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-NVIDIAParabricksGermlineHaplotypeCallerWGSforupto5X-v1.0-run","",,,,,,"NVIDIA Corporation","NVIDIA Parabricks Germline HaplotypeCaller WGS for up to 5X","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"NGJB2EHNUY2UGDAH","JRTCKXETXF","NGJB2EHNUY2UGDAH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.6254 per omics.g4dn.4xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","1.6254000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","16","64 GiB",,,,"USE1-WorkflowType:Private-omics.g4dn.4xlarge-hours","",,,"1","16 GiB","Accelerated Computing",,,,"us-east-1","omics.g4dn.4xlarge","Amazon Omics","Private"
"NQCKAKX3UMXDGDRH","JRTCKXETXF","NQCKAKX3UMXDGDRH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.3198 per Instance-hr for omics.g6.2xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","1.3198000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","8","32 GiB",,,,"USE1-WorkflowType:Private-omics.g6.2xlarge-hours","",,,"1","24 GiB","Accelerated Computing",,,,"us-east-1","omics.g6.2xlarge","Amazon Omics","Private"
"Q9SHYWZG7AQBED6B","JRTCKXETXF","Q9SHYWZG7AQBED6B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$10.8864 per Instance-hr for omics.r.32xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","10.8864000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","128","1,024 GiB",,,,"USE1-WorkflowType:Private-omics.r.32xlarge-hours","",,,,,"Memory Optimized Instances",,,,"us-east-1","omics.r.32xlarge","Amazon Omics","Private"
"QFM5UPEHBY37RVXB","JRTCKXETXF","QFM5UPEHBY37RVXB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$13.0637 per Instance-hr for omics.m.48xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","13.0637000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","192","768 GiB",,,,"USE1-WorkflowType:Private-omics.m.48xlarge-hours","",,,,,"Standard Instances",,,,"us-east-1","omics.m.48xlarge","Amazon Omics","Private"
"QGMPVCJBWGMKNC52","JRTCKXETXF","QGMPVCJBWGMKNC52.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.31 per NVIDIA Parabricks Germline DeepVariant WGS for up to 5X-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","2.3100000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-NVIDIAParabricksGermlineDeepVariantWGSforupto5X-v1.0-run","",,,,,,"NVIDIA Corporation","NVIDIA Parabricks Germline DeepVariant WGS for up to 5X","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"REB8RCB5VB3CNF6X","JRTCKXETXF","REB8RCB5VB3CNF6X.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.6362 per omics.g5.2xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","1.6362000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","8","32 GiB",,,,"USE1-WorkflowType:Private-omics.g5.2xlarge-hours","",,,"1","24 GiB","Accelerated Computing",,,,"us-east-1","omics.g5.2xlarge","Amazon Omics","Private"
"RPP4VWRCCD7TAWJE","JRTCKXETXF","RPP4VWRCCD7TAWJE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.5857 per Instance-hr for omics.g6.16xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","4.5857000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","64","256 GiB",,,,"USE1-WorkflowType:Private-omics.g6.16xlarge-hours","",,,"1","24 GiB","Accelerated Computing",,,,"us-east-1","omics.g6.16xlarge","Amazon Omics","Private"
"RS4VE88K6Y9XE2PW","JRTCKXETXF","RS4VE88K6Y9XE2PW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.10 per scRNAseq with KallistoBUStools-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","1.1000000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-scRNAseqwithKallistoBUStools-v1.0-run","",,,,,,"nf-core","scRNAseq with KallistoBUStools","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"RSQZVB6BP2TQJ5XS","JRTCKXETXF","RSQZVB6BP2TQJ5XS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.8752 per Instance-hr for omics.g4dn.16xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","5.8752000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","64","256 GiB",,,,"USE1-WorkflowType:Private-omics.g4dn.16xlarge-hours","",,,"1","16 GiB","Accelerated Computing",,,,"us-east-1","omics.g4dn.16xlarge","Amazon Omics","Private"
"RXMUE78E3XFVQEM6","JRTCKXETXF","RXMUE78E3XFVQEM6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$7.344 per Instance-hr for omics.c.32xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","7.3440000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","128","256 GiB",,,,"USE1-WorkflowType:Private-omics.c.32xlarge-hours","",,,,,"Compute Optimized Instances",,,,"us-east-1","omics.c.32xlarge","Amazon Omics","Private"
"S87YPSUDC86RKHAJ","JRTCKXETXF","S87YPSUDC86RKHAJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$7.50 per Sentieon Long Read for PacBio HiFi-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","7.5000000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-SentieonLongReadforPacBioHiFi-v1.0-run","",,,,,,"Sentieon, Inc.","Sentieon LongRead for PacBio HiFi","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"SAT6QHPTKZDWTDQB","JRTCKXETXF","SAT6QHPTKZDWTDQB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.50 per NVIDIA Parabricks Somatic Mutect2 WGS for up to 50X-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","3.5000000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-NVIDIAParabricksSomaticMutect2WGSforupto50X-v1.0-run","",,,,,,"NVIDIA Corporation","NVIDIA Parabricks Somatic Mutect2 WGS for up to 50X","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"SH8GCRSQSJB4MCYV","JRTCKXETXF","SH8GCRSQSJB4MCYV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.0865 per Instance-hr for omics.g6.xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","1.0865000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","4","16 GiB",,,,"USE1-WorkflowType:Private-omics.g6.xlarge-hours","",,,"1","24 GiB","Accelerated Computing",,,,"us-east-1","omics.g6.xlarge","Amazon Omics","Private"
"TN3BJ4UCAVWUWRNE","JRTCKXETXF","TN3BJ4UCAVWUWRNE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.05 per Sentieon Somatic WGS-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","8.0500000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-SentieonSomaticWGS-v1.0-run","",,,,,,"Sentieon, Inc.","Sentieon Somatic WGS","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"U6SVEXMQW8H657QB","JRTCKXETXF","U6SVEXMQW8H657QB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.50 per NVIDIA Parabricks Germline HaplotypeCaller WGS for up to 30X-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","6.5000000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-NVIDIAParabricksGermlineHaplotypeCallerWGSforupto30X-v1.0-run","",,,,,,"NVIDIA Corporation","NVIDIA Parabricks Germline HaplotypeCaller WGS for up to 30X","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"UWKBMPAF59V3CAZN","JRTCKXETXF","UWKBMPAF59V3CAZN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.001154 per Gigabase-month for archive storage in US East (N. Virginia)","2025-02-01","0","Inf","Gigabase-month","0.0011540000","USD","Storage","AmazonOmics","US East (N. Virginia)","AWS Region",,,"Archive",,,"USE1-StorageClass:Archive-Gigabase-hour","",,,,,,,,,"us-east-1",,"Amazon Omics",
"UZ885JDCKY89ZNSD","JRTCKXETXF","UZ885JDCKY89ZNSD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$7.6572 per omics.g5.12xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","7.6572000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","48","192 GiB",,,,"USE1-WorkflowType:Private-omics.g5.12xlarge-hours","",,,"4","96 GiB","Accelerated Computing",,,,"us-east-1","omics.g5.12xlarge","Amazon Omics","Private"
"V7C37UQ8CWH5VTB7","JRTCKXETXF","V7C37UQ8CWH5VTB7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.88 per NVIDIA Parabricks FQ2BAM WGS for up to 5X-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","0.8800000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-NVIDIAParabricksFQ2BAMWGSforupto5X-v1.0-run","",,,,,,"NVIDIA Corporation","NVIDIA Parabricks FQ2BAM WGS for up to 5X","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"VH95GGE4TPQGA7T5","JRTCKXETXF","VH95GGE4TPQGA7T5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.57 per Bases2Fastq for 2x300-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","2.5700000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-Bases2Fastqfor2x300-v1.0-run","",,,,,,"Element Biosciences","Bases2Fastq for 2x300","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"VJSPB2VM29GDP3RK","JRTCKXETXF","VJSPB2VM29GDP3RK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.005 per 1000 Requests forOmicsStorage:API-S3ListRequest in US East (N. Virginia)","2025-02-01","0","Inf","Request","0.0000050000","USD","Storage","AmazonOmics","US East (N. Virginia)","AWS Region",,,,"OmicsStorage-API-S3ListRequest","S3 List Request","USE1-OmicsStorage:API-S3ListRequest","",,,,,,,,,"us-east-1",,"Amazon Omics",
"VU335VRUFJXTBV69","JRTCKXETXF","VU335VRUFJXTBV69.JRTCKXETXF.6YS6EN2CT7","OnDemand","$10.00 per GATK-BP Germline fq2vcf for 30x genome-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","10.0000000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-GATK-BPGermlinefq2vcffor30xgenome-v1.0-run","",,,,,,"Broad Institute","GATK-BP Germline fq2vcf for 30x genome","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"W3APKXSHBRUYCQ5B","JRTCKXETXF","W3APKXSHBRUYCQ5B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.3608 per omics.r.4xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","1.3608000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","16","128 GiB",,,,"USE1-WorkflowType:Private-omics.r.4xlarge-hours","",,,,,"Memory Optimized Instances",,,,"us-east-1","omics.r.4xlarge","Amazon Omics","Private"
"WB4J33A4XQJH5YCR","JRTCKXETXF","WB4J33A4XQJH5YCR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.25 per ESMFold for up to 800 residues-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","0.2500000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-ESMFoldforupto800residues-v1.0-run","",,,,,,"Meta Research","ESMFold for up to 800 residues","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"WGYT5YB5AQ6G2QNH","JRTCKXETXF","WGYT5YB5AQ6G2QNH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.1648 per omics.r.24xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","8.1648000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","96","768 GiB",,,,"USE1-WorkflowType:Private-omics.r.24xlarge-hours","",,,,,"Memory Optimized Instances",,,,"us-east-1","omics.r.24xlarge","Amazon Omics","Private"
"WTG7DSTX272B5Q9R","JRTCKXETXF","WTG7DSTX272B5Q9R.JRTCKXETXF.6YS6EN2CT7","OnDemand","$10.9944 per Instance-hr for omics.g5.24xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","10.9944000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","96","384 GiB",,,,"USE1-WorkflowType:Private-omics.g5.24xlarge-hours","",,,"4","96 GiB","Accelerated Computing",,,,"us-east-1","omics.g5.24xlarge","Amazon Omics","Private"
"WWMD9DPTEGWN2RFE","JRTCKXETXF","WWMD9DPTEGWN2RFE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.78 per Sentieon Long Read for ONT-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","1.7800000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-SentieonLongReadforONT-v1.0-run","",,,,,,"Sentieon, Inc.","Sentieon LongRead for ONT","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"X8H2USCUMUR8C7GH","JRTCKXETXF","X8H2USCUMUR8C7GH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.918 per omics.c.4xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","0.9180000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","16","32 GiB",,,,"USE1-WorkflowType:Private-omics.c.4xlarge-hours","",,,,,"Compute Optimized Instances",,,,"us-east-1","omics.c.4xlarge","Amazon Omics","Private"
"XAEVRU3GN52KAGSX","JRTCKXETXF","XAEVRU3GN52KAGSX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.50 per Sentieon Somatic WES-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","4.5000000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-SentieonSomaticWES-v1.0-run","",,,,,,"Sentieon, Inc.","Sentieon Somatic WES","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"XJP2692MX3S2UWDG","JRTCKXETXF","XJP2692MX3S2UWDG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.035 per GB-month for annotation store in US East (N. Virginia)","2025-02-01","0","Inf","GB-month","0.0350000000","USD","Machine Learning","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-AnalyticsType:Annotation-Bytes-hour","","Datastore","Annotation",,,,,,,"us-east-1",,"Amazon Omics",
"YMYAJ8NENN6UATVC","JRTCKXETXF","YMYAJ8NENN6UATVC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$10.50 per NVIDIA Parabricks Germline HaplotypeCaller WGS for up to 50X-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","10.5000000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-NVIDIAParabricksGermlineHaplotypeCallerWGSforupto50X-v1.0-run","",,,,,,"NVIDIA Corporation","NVIDIA Parabricks Germline HaplotypeCaller WGS for up to 50X","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"ZJ93ZKEB5BDWPG4U","JRTCKXETXF","ZJ93ZKEB5BDWPG4U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.508 per omics.c.24xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","5.5080000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","96","192 GiB",,,,"USE1-WorkflowType:Private-omics.c.24xlarge-hours","",,,,,"Compute Optimized Instances",,,,"us-east-1","omics.c.24xlarge","Amazon Omics","Private"
"ZKWHHC8S3ZYGP3TG","JRTCKXETXF","ZKWHHC8S3ZYGP3TG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.68 per GATK-BP Somatic WES bam2vcf-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","4.6800000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-GATK-BPSomaticWESbam2vcf-v1.0-run","",,,,,,"Broad Institute","GATK-BP Somatic WES bam2vcf","1.0","us-east-1",,"Amazon Omics","Ready2Run"
