SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,Instance Type,vCpu,Memory,Volume Type,usageType,operation,Compute Type,DeviceName,Device Name,Device Provider,Operation Outcome,Product Type,Product-Type,Provider,Region Code,serviceName,Simulator Name,Type,Version
NBMNGHHR6YC7TDR7,JRTCKXETXF,NBMNGHHR6YC7TDR7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.06375 per minute for running a Braket Job (ml.p3.2xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0637500000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.p3.2xlarge-Training,8,61 GiB,,USE1-Job-ExecutionDuration-ml.p3.2xlarge,Managed-Jobs,Accelerated Computing Instances,,,,,,,,us-east-1,Amazon Braket,,,
NEXP56ZJXBVFTK8F,JRTCKXETXF,NEXP56ZJXBVFTK8F.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0068 per minute for running a Braket Job (ml.c5.2xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0068000000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.c5.2xlarge-Training,8,16 GiB,,USE1-Job-ExecutionDuration-ml.c5.2xlarge,Managed-Jobs,Compute Optimized Instances,,,,,,,,us-east-1,Amazon Braket,,,
NNUZVRD6CY9D9TM5,JRTCKXETXF,NNUZVRD6CY9D9TM5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.30000 per Job Task for IonQ-Aria-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Task,0.3000000000,USD,,Braket Managed Jobs QPU Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-QPU-Task-IonQ-Aria-2,Managed-Jobs,,,Aria-2,IonQ,,,,,us-east-1,Amazon Braket,,Task,
P8ZYSU4REGYP76BG,JRTCKXETXF,P8ZYSU4REGYP76BG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.3 per-task for QuEra-Aquila in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Task,0.3000000000,USD,,Quantum Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Task-QuEra-Aquila,Task,,Aquila,,,,,,QuEra,us-east-1,Amazon Braket,,,
Q29DWETM9G7UVPNY,JRTCKXETXF,Q29DWETM9G7UVPNY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.02508 per minute for running a Braket Job (ml.g4dn.4xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0250800000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.g4dn.4xlarge-Training,16,64 GiB,,USE1-Job-ExecutionDuration-ml.g4dn.4xlarge,Managed-Jobs,Accelerated Computing Instances,,,,,,,,us-east-1,Amazon Braket,,,
QU3JAYTW2K2RNKYA,JRTCKXETXF,QU3JAYTW2K2RNKYA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.04 per minute for running a Braket Job (ml.m4.10xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0400000000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.m4.10xlarge-Training,40,160 GiB,,USE1-Job-ExecutionDuration-ml.m4.10xlarge,Managed-Jobs,Standard Instances,,,,,,,,us-east-1,Amazon Braket,,,
QZH9B4T5ME2FENEN,JRTCKXETXF,QZH9B4T5ME2FENEN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$7,000 per hour for IonQ-Forte-1 device in US East (N. Virginia) Region,2025-03-01,0,Inf,hours,7000.0000000000,USD,,Quantum Reservation,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Reservation-IonQ-Forte-1,ReservationEnd,,Forte-1,,,,,,IonQ,us-east-1,Amazon Braket,,,
R8A3R2KAMYZ4A83C,JRTCKXETXF,R8A3R2KAMYZ4A83C.JRTCKXETXF.6YS6EN2CT7,OnDemand,$7000.00 per hour for IonQ-Forte-Enterprise-1 device in US East (N. Virginia) Region,2025-03-01,0,Inf,hours,7000.0000000000,USD,,Quantum Reservation,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Reservation-IonQ-Forte-Enterprise-1,ReservationEnd,,Forte-Enterprise-1,,,,,,IonQ,us-east-1,Amazon Braket,,,
RAKCYRZ6Q7T5KK27,JRTCKXETXF,RAKCYRZ6Q7T5KK27.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.08 per shot for IonQ-Forte-Enterprise-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Shot,0.0800000000,USD,,Quantum Task-Shot,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Task-Shot-IonQ-Forte-Enterprise-1,CompleteTask,,Forte-Enterprise-1,,,,,,IonQ,us-east-1,Amazon Braket,,,
RJ4FR3NDCNT7VGX2,JRTCKXETXF,RJ4FR3NDCNT7VGX2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03182 per minute for running a Braket Job (ml.c4.8xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0318200000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.c4.8xlarge-Training,36,60 GiB,,USE1-Job-ExecutionDuration-ml.c4.8xlarge,Managed-Jobs,Compute Optimized Instances,,,,,,,,us-east-1,Amazon Braket,,,
RNWSP353U5YYNE33,JRTCKXETXF,RNWSP353U5YYNE33.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03000 per Job Task Shot for IonQ-Aria-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Shot,0.0300000000,USD,,Braket Managed Jobs QPU Task Shot,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-QPU-Task-Shot-IonQ-Aria-1,Managed-Jobs,,,Aria-1,IonQ,,,,,us-east-1,Amazon Braket,,Task Shot,
SH9NZG24Z9CDQHYJ,JRTCKXETXF,SH9NZG24Z9CDQHYJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.08 per Job Task Shot for IonQ-Forte-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Shot,0.0800000000,USD,,Braket Managed Jobs QPU Task Shot,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-QPU-Task-Shot-IonQ-Forte-1,Managed-Jobs,,,Forte-1,IonQ,,,,,us-east-1,Amazon Braket,,Task Shot,
T6VNUYNC5QGRQN2Q,JRTCKXETXF,T6VNUYNC5QGRQN2Q.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00797 per minute for running a Braket Job (ml.c4.2xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0079700000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.c4.2xlarge-Training,8,15 GiB,,USE1-Job-ExecutionDuration-ml.c4.2xlarge,Managed-Jobs,Compute Optimized Instances,,,,,,,,us-east-1,Amazon Braket,,,
TXHQMRY8UK9ASE6T,JRTCKXETXF,TXHQMRY8UK9ASE6T.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.30 per-task for IonQ-Aria-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Task,0.3000000000,USD,,Quantum Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Task-IonQ-Aria-2,Task,,Aria-2,,,,,,IonQ,us-east-1,Amazon Braket,,,
V6XMRUT4HA4Q84ZG,JRTCKXETXF,V6XMRUT4HA4Q84ZG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.075 per minute for Simulator (DM1) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0750000000,USD,CWQB385Q7FYCYESV,Simulator Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Completed-Task-ExecutionDuration-DM1,CompleteTask,,,,,Completed,DensityMatrix,DensityMatrix,,us-east-1,Amazon Braket,,,DM1
VJW9DZQDBMGASNQ7,JRTCKXETXF,VJW9DZQDBMGASNQ7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.2448 per minute for running a Braket Job (ml.p3.8xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.2448000000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.p3.8xlarge-Training,32,244 GiB,,USE1-Job-ExecutionDuration-ml.p3.8xlarge,Managed-Jobs,Accelerated Computing Instances,,,,,,,,us-east-1,Amazon Braket,,,
VWGQ84DHF6GPQA3U,JRTCKXETXF,VWGQ84DHF6GPQA3U.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03000 per Job Task Shot for IonQ-Aria-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Shot,0.0300000000,USD,,Braket Managed Jobs QPU Task Shot,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-QPU-Task-Shot-IonQ-Aria-2,Managed-Jobs,,,Aria-2,IonQ,,,,,us-east-1,Amazon Braket,,Task Shot,
VYJFUFNGRDKHHUA8,JRTCKXETXF,VYJFUFNGRDKHHUA8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.09217 per minute for running a Braket Job (ml.m5.24xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0921700000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.m5.24xlarge-Training,96,384 GiB,,USE1-Job-ExecutionDuration-ml.m5.24xlarge,Managed-Jobs,Standard Instances,,,,,,,,us-east-1,Amazon Braket,,,
W59EWU84HMU6NFHY,JRTCKXETXF,W59EWU84HMU6NFHY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.59823 per minute for running a Braket Job (ml.p3dn.24xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.5982300000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.p3dn.24xlarge-Training,96,768 GiB,,USE1-Job-ExecutionDuration-ml.p3dn.24xlarge,Managed-Jobs,Accelerated Computing Instances,,,,,,,,us-east-1,Amazon Braket,,,
WGREWEJZ93539RR7,JRTCKXETXF,WGREWEJZ93539RR7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.30 per-task for IonQ-IonQdevice in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Task,0.3000000000,USD,,Quantum Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Task-IonQ-Harmony,Task,,Harmony,,,,,,IonQ,us-east-1,Amazon Braket,,,
WW7TYCR7SAFU3Z38,JRTCKXETXF,WW7TYCR7SAFU3Z38.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0306 per minute for running a Braket Job (ml.c5.9xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0306000000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.c5.9xlarge-Training,36,72 GiB,,USE1-Job-ExecutionDuration-ml.c5.9xlarge,Managed-Jobs,Compute Optimized Instances,,,,,,,,us-east-1,Amazon Braket,,,
XBEEN9C66Y9QRV39,JRTCKXETXF,XBEEN9C66Y9QRV39.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.276 per minute for running a Braket Job (ml.p2.16xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.2760000000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.p2.16xlarge-Training,64,732 GiB,,USE1-Job-ExecutionDuration-ml.p2.16xlarge,Managed-Jobs,Accelerated Computing Instances,,,,,,,,us-east-1,Amazon Braket,,,
XSX3EXT8CTSPHHXT,JRTCKXETXF,XSX3EXT8CTSPHHXT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.30000 per Job Task for IonQ-Aria-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Task,0.3000000000,USD,,Braket Managed Jobs QPU Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-QPU-Task-IonQ-Aria-1,Managed-Jobs,,,Aria-1,IonQ,,,,,us-east-1,Amazon Braket,,Task,
YGN8WPYGWZ5C32P3,JRTCKXETXF,YGN8WPYGWZ5C32P3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.30 per Job Task for IonQ-Forte-Enterprise-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Task,0.3000000000,USD,,Braket Managed Jobs QPU Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-QPU-Task-IonQ-Forte-Enterprise-1,Managed-Jobs,,,Forte-Enterprise-1,IonQ,,,,,us-east-1,Amazon Braket,,Task,
YQHUFFXMK2UPHCW6,JRTCKXETXF,YQHUFFXMK2UPHCW6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.075 per minute for Job Simulator(SV1) Task in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0750000000,USD,CWQB385Q7FYCYESV,Braket Managed Jobs Simulator Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-Simulator-Task-ExecutionDuration-SV1,Managed-Jobs,,,,,,,,,us-east-1,Amazon Braket,State Vector,,SV1
Z7EVHG4BF8Y5CA2U,JRTCKXETXF,Z7EVHG4BF8Y5CA2U.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.30 per Job Task for IonQ-Forte-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Task,0.3000000000,USD,,Braket Managed Jobs QPU Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-QPU-Task-IonQ-Forte-1,Managed-Jobs,,,Forte-1,IonQ,,,,,us-east-1,Amazon Braket,,Task,
ZH9S7GFY33ZK2Y58,JRTCKXETXF,ZH9S7GFY33ZK2Y58.JRTCKXETXF.6YS6EN2CT7,OnDemand,$7,000 per hour for IonQ-Aria-2 device in US East (N. Virginia) Region,2025-03-01,0,Inf,hours,7000.0000000000,USD,,Quantum Reservation,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Reservation-IonQ-Aria-2,ReservationEnd,,Aria-2,,,,,,IonQ,us-east-1,Amazon Braket,,,
ZPBZ9VZCNYFMDUX9,JRTCKXETXF,ZPBZ9VZCNYFMDUX9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0815 per minute for running a Braket Job (ml.g4dn.12xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0815000000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.g4dn.12xlarge-Training,48,192 GiB,,USE1-Job-ExecutionDuration-ml.g4dn.12xlarge,Managed-Jobs,Accelerated Computing Instances,,,,,,,,us-east-1,Amazon Braket,,,
ZQAAY5DGXKZPZD5R,JRTCKXETXF,ZQAAY5DGXKZPZD5R.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per-shot for QuEra-Aquila in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Shot,0.0100000000,USD,,Quantum Task-Shot,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Task-Shot-QuEra-Aquila,CompleteTask,,Aquila,,,,,,QuEra,us-east-1,Amazon Braket,,,
